run_label,stage,source,suite_id,benchmark_tier,state_pool_mode_requested,state_pool_mode_used,strict_equal_quality_comparison_valid,quality_superiority_comparison_valid,formal_superiority_claim_allowed,formal_quality_superiority_claim_allowed,formal_efficiency_claim_allowed,formal_efficiency_superiority_claim_allowed,serialized_latency_superiority_claim_allowed,claim_restriction,formal_compare_full_registry_coverage,formal_compare_case_count,formal_compare_family_count,formal_external_claim_kind,timing_execution_contract,timing_delta_direction
lr01,lr01_14_formal_compare_latency_rerun_api_local_memfd,work/lr01_14_formal_compare_latency_rerun_api_local_memfd/runtime/api/external/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-lr01-lr01_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare-external-api.json,v2-local-api-non-kv-followup-20260709_083750-lr01-lr01_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare-external-api,formal,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
flagship,r01_13_flagship_ablation_api_local,work/r01_13_flagship_ablation_api_local/runtime/flagship-ablation/fixed-external-compare/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-flagship-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare-api.json,v2-local-api-non-kv-followup-20260709_083750-flagship-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare,dev,,,1,0,,,0,0,,,,,,,,
flagship,r01_13_flagship_ablation_api_local,work/r01_13_flagship_ablation_api_local/runtime/flagship-ablation/fixed-external-compare/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-flagship-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare.json,v2-local-api-non-kv-followup-20260709_083750-flagship-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare,dev,auto,shared_memory,true,false,false,false,false,false,false,dev_fixed_answer_external_fairness_gate_passed_not_formal_superiority,false,3,1,none,serialized_statebus_then_external_within_each_mode_v1,statebus_minus_external
flagship,r01_13_flagship_ablation_api_local,work/r01_13_flagship_ablation_api_local/runtime/flagship-ablation/fixed-external-compare/api/external/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-flagship-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare-external-api.json,v2-local-api-non-kv-followup-20260709_083750-flagship-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare-external-api,dev,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
extras,x25_formal_carrier_compare_api_local_memfd_benchmark_balanced,artifacts/stages/x25_formal_carrier_compare_api_local_memfd_benchmark_balanced/stdout.json,v2-local-api-non-kv-followup-20260709_083750-extras-x25_formal_carrier_compare_api_local_memfd_benchmark_balanced-cold-start-carrier-compare,formal,,,,,,,,,,,true,25,5,,,
extras,x22_formal_carrier_compare_api_local_shared_memory,artifacts/stages/x22_formal_carrier_compare_api_local_shared_memory/stdout.json,v2-local-api-non-kv-followup-20260709_083750-extras-x22_formal_carrier_compare_api_local_shared_memory-cold-start-carrier-compare,formal,,,,,,,,,,,true,25,5,,,
extras,x23_formal_compare_api_local_shared_memory,artifacts/stages/x23_formal_compare_api_local_shared_memory/stdout.json,v2-local-api-non-kv-followup-20260709_083750-extras-x23_formal_compare_api_local_shared_memory-cold-start-compare,formal,shared_memory,shared_memory,false,false,false,false,false,false,0,external_compare_debug_only_until_strict_or_quality_gate_passes,true,25,5,debug_only,serialized_statebus_then_external_within_each_mode_v1,statebus_minus_external
extras,x13_dev_compare_api_local_memfd,artifacts/stages/x13_dev_compare_api_local_memfd/stdout.json,v2-local-api-non-kv-followup-20260709_083750-extras-x13_dev_compare_api_local_memfd-cold-start-compare,dev,memfd,memfd,true,false,false,false,false,false,0,dev_fixed_answer_external_fairness_gate_passed_not_formal_superiority,false,3,1,none,serialized_statebus_then_external_within_each_mode_v1,statebus_minus_external
extras,x26_formal_compare_api_local_memfd_benchmark_balanced,artifacts/stages/x26_formal_compare_api_local_memfd_benchmark_balanced/stdout.json,v2-local-api-non-kv-followup-20260709_083750-extras-x26_formal_compare_api_local_memfd_benchmark_balanced-cold-start-compare,formal,memfd,memfd,false,false,false,false,false,false,0,external_compare_debug_only_until_strict_or_quality_gate_passes,true,25,5,debug_only,serialized_statebus_then_external_within_each_mode_v1,statebus_minus_external
extras,x12_dev_external_api_local,work/x12_dev_external_api_local/runtime/api/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x12_dev_external_api_local-external-api.json,v2-local-api-non-kv-followup-20260709_083750-extras-x12_dev_external_api_local-external-api,dev,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
extras,x25_formal_carrier_compare_api_local_memfd_benchmark_balanced,work/x25_formal_carrier_compare_api_local_memfd_benchmark_balanced/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x25_formal_carrier_compare_api_local_memfd_benchmark_balanced-cold-start-carrier-compare.json,v2-local-api-non-kv-followup-20260709_083750-extras-x25_formal_carrier_compare_api_local_memfd_benchmark_balanced-cold-start-carrier-compare,formal,,,,,,,,,,,true,25,5,,,
extras,x22_formal_carrier_compare_api_local_shared_memory,work/x22_formal_carrier_compare_api_local_shared_memory/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x22_formal_carrier_compare_api_local_shared_memory-cold-start-carrier-compare.json,v2-local-api-non-kv-followup-20260709_083750-extras-x22_formal_carrier_compare_api_local_shared_memory-cold-start-carrier-compare,formal,,,,,,,,,,,true,25,5,,,
extras,x23_formal_compare_api_local_shared_memory,work/x23_formal_compare_api_local_shared_memory/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x23_formal_compare_api_local_shared_memory-cold-start-compare-api.json,v2-local-api-non-kv-followup-20260709_083750-extras-x23_formal_compare_api_local_shared_memory-cold-start-compare,formal,,,0,0,,,0,0,,,,,,,,
extras,x23_formal_compare_api_local_shared_memory,work/x23_formal_compare_api_local_shared_memory/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x23_formal_compare_api_local_shared_memory-cold-start-compare.json,v2-local-api-non-kv-followup-20260709_083750-extras-x23_formal_compare_api_local_shared_memory-cold-start-compare,formal,shared_memory,shared_memory,false,false,false,false,false,false,false,external_compare_debug_only_until_strict_or_quality_gate_passes,true,25,5,debug_only,serialized_statebus_then_external_within_each_mode_v1,statebus_minus_external
extras,x23_formal_compare_api_local_shared_memory,work/x23_formal_compare_api_local_shared_memory/runtime/api/external/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x23_formal_compare_api_local_shared_memory-cold-start-compare-external-api.json,v2-local-api-non-kv-followup-20260709_083750-extras-x23_formal_compare_api_local_shared_memory-cold-start-compare-external-api,formal,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
extras,x13_dev_compare_api_local_memfd,work/x13_dev_compare_api_local_memfd/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x13_dev_compare_api_local_memfd-cold-start-compare.json,v2-local-api-non-kv-followup-20260709_083750-extras-x13_dev_compare_api_local_memfd-cold-start-compare,dev,memfd,memfd,true,false,false,false,false,false,false,dev_fixed_answer_external_fairness_gate_passed_not_formal_superiority,false,3,1,none,serialized_statebus_then_external_within_each_mode_v1,statebus_minus_external
extras,x13_dev_compare_api_local_memfd,work/x13_dev_compare_api_local_memfd/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x13_dev_compare_api_local_memfd-cold-start-compare-api.json,v2-local-api-non-kv-followup-20260709_083750-extras-x13_dev_compare_api_local_memfd-cold-start-compare,dev,,,1,0,,,0,0,,,,,,,,
extras,x13_dev_compare_api_local_memfd,work/x13_dev_compare_api_local_memfd/runtime/api/external/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x13_dev_compare_api_local_memfd-cold-start-compare-external-api.json,v2-local-api-non-kv-followup-20260709_083750-extras-x13_dev_compare_api_local_memfd-cold-start-compare-external-api,dev,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
extras,x26_formal_compare_api_local_memfd_benchmark_balanced,work/x26_formal_compare_api_local_memfd_benchmark_balanced/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x26_formal_compare_api_local_memfd_benchmark_balanced-cold-start-compare.json,v2-local-api-non-kv-followup-20260709_083750-extras-x26_formal_compare_api_local_memfd_benchmark_balanced-cold-start-compare,formal,memfd,memfd,false,false,false,false,false,false,false,external_compare_debug_only_until_strict_or_quality_gate_passes,true,25,5,debug_only,serialized_statebus_then_external_within_each_mode_v1,statebus_minus_external
extras,x26_formal_compare_api_local_memfd_benchmark_balanced,work/x26_formal_compare_api_local_memfd_benchmark_balanced/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x26_formal_compare_api_local_memfd_benchmark_balanced-cold-start-compare-api.json,v2-local-api-non-kv-followup-20260709_083750-extras-x26_formal_compare_api_local_memfd_benchmark_balanced-cold-start-compare,formal,,,0,0,,,0,0,,,,,,,,
extras,x26_formal_compare_api_local_memfd_benchmark_balanced,work/x26_formal_compare_api_local_memfd_benchmark_balanced/runtime/api/external/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-extras-x26_formal_compare_api_local_memfd_benchmark_balanced-cold-start-compare-external-api.json,v2-local-api-non-kv-followup-20260709_083750-extras-x26_formal_compare_api_local_memfd_benchmark_balanced-cold-start-compare-external-api,formal,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
