stage	exit_code	required	kind	artifact	log_path	duration_s
x18_continuous_replay_csv_correlation_api_local	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x18_continuous_replay_csv_correlation_api_local/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x18_continuous_replay_csv_correlation_api_local/console.log	751
x19_continuous_replay_cross_period_financial_api_local	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x19_continuous_replay_cross_period_financial_api_local/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x19_continuous_replay_cross_period_financial_api_local/console.log	1320
x20_continuous_replay_long_doc_metric_api_local	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x20_continuous_replay_long_doc_metric_api_local/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x20_continuous_replay_long_doc_metric_api_local/console.log	983
x21_formal_api_local_shared_memory	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x21_formal_api_local_shared_memory/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x21_formal_api_local_shared_memory/console.log	2353
x22_formal_carrier_compare_api_local_shared_memory	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x22_formal_carrier_compare_api_local_shared_memory/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x22_formal_carrier_compare_api_local_shared_memory/console.log	1139
x23_formal_compare_api_local_shared_memory	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x23_formal_compare_api_local_shared_memory/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x23_formal_compare_api_local_shared_memory/console.log	1192
x23b_formal_api_local_shared_memory_subprocess	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x23b_formal_api_local_shared_memory_subprocess/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x23b_formal_api_local_shared_memory_subprocess/console.log	2346
x24_formal_api_local_memfd_benchmark_balanced	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x24_formal_api_local_memfd_benchmark_balanced/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x24_formal_api_local_memfd_benchmark_balanced/console.log	2249
x25_formal_carrier_compare_api_local_memfd_benchmark_balanced	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x25_formal_carrier_compare_api_local_memfd_benchmark_balanced/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x25_formal_carrier_compare_api_local_memfd_benchmark_balanced/console.log	1137
x26_formal_compare_api_local_memfd_benchmark_balanced	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x26_formal_compare_api_local_memfd_benchmark_balanced/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x26_formal_compare_api_local_memfd_benchmark_balanced/console.log	1211
x27_continuous_collection_api_local_benchmark_balanced	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x27_continuous_collection_api_local_benchmark_balanced/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x27_continuous_collection_api_local_benchmark_balanced/console.log	2523
x28_continuous_replay_collection_api_local_benchmark_balanced	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x28_continuous_replay_collection_api_local_benchmark_balanced/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x28_continuous_replay_collection_api_local_benchmark_balanced/console.log	2895
