stage	exit_code	required	kind	artifact	log_path	duration_s
00_env_probe	0	1	text	-	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/00_env_probe/console.log	0
01_py_compile	0	1	text	-	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/01_py_compile/console.log	0
02_pytest_full_v2	0	1	text	-	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/02_pytest_full_v2/console.log	406
03_runtime_smoke	0	1	text	-	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/03_runtime_smoke/console.log	36
r01_04_preflight_api_local	0	1	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_04_preflight_api_local/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_04_preflight_api_local/console.log	2
r01_05_formal_api_local_memfd	0	1	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_05_formal_api_local_memfd/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_05_formal_api_local_memfd/console.log	753
r01_06_formal_carrier_compare_api_local_memfd	0	1	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_06_formal_carrier_compare_api_local_memfd/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_06_formal_carrier_compare_api_local_memfd/console.log	392
r01_07_formal_compare_api_local_memfd	0	1	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_07_formal_compare_api_local_memfd/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_07_formal_compare_api_local_memfd/console.log	329
r01_08_dev_compare_api_local_memfd	0	0	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_08_dev_compare_api_local_memfd/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_08_dev_compare_api_local_memfd/console.log	45
r01_09_carrier_compare_api_local_memfd	0	0	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_09_carrier_compare_api_local_memfd/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_09_carrier_compare_api_local_memfd/console.log	48
r01_10_continuous_api_local	0	0	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_10_continuous_api_local/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_10_continuous_api_local/console.log	961
r01_11_continuous_replay_api_local	0	0	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_11_continuous_replay_api_local/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_11_continuous_replay_api_local/console.log	1031
r01_12_replay_negative_api_local	0	1	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_12_replay_negative_api_local/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_12_replay_negative_api_local/console.log	3
r01_13_flagship_ablation_api_local	1	0	live_runner	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_13_flagship_ablation_api_local/stdout.json	/statebus/runs/sb2-gpu1-20260708_084458/artifacts/stages/r01_13_flagship_ablation_api_local/console.log	582
